民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年03月31日,104年03月31日,103年12月31日,103年12月31日,103年03月31日,103年03月31日,103年01月01日,103年01月01日,Unnamed: 9_level_2,Unnamed: 10_level_2
Unnamed: 0_level_3,金額,%,金額,%,金額,%,金額,%,Unnamed: 9_level_3,Unnamed: 10_level_3
流動資產,,,,,,,,,,
現金及約當現金,1463674.0,14.67,1511898.0,16.08,1580983.0,14.61,1662411.0,14.7,,
透過損益按公允價值衡量之金融資產－流動,4301.0,0.04,3251.0,0.03,0.0,0.0,0.0,0.0,,
備供出售金融資產－流動淨額,188321.0,1.89,167928.0,1.79,64200.0,0.59,25405.0,0.22,,
應收票據淨額,460.0,0.0,62991.0,0.67,17986.0,0.17,30790.0,0.27,,
應收帳款淨額,844422.0,8.46,526160.0,5.6,1199409.0,11.09,1402311.0,12.4,,
應收建造合約款,26194.0,0.26,56733.0,0.6,61346.0,0.57,54924.0,0.49,,
其他應收款淨額,31406.0,0.31,40739.0,0.43,59114.0,0.55,46372.0,0.41,,
存貨,586850.0,5.88,503671.0,5.36,1397022.0,12.91,1263008.0,11.17,,
預付款項,250361.0,2.51,255387.0,2.72,229986.0,2.13,506232.0,4.48,,
其他流動資產,49520.0,0.5,49410.0,0.53,67151.0,0.62,123886.0,1.1,,
流動資產合計,3445509.0,34.52,3178168.0,33.81,4677197.0,43.23,5115339.0,45.24,,
非流動資產,,,,,,,,,,
以成本衡量之金融資產－非流動淨額,380041.0,3.81,375021.0,3.99,371760.0,3.44,363570.0,3.22,,
採用權益法之投資淨額,1471969.0,14.75,1405590.0,14.95,1590075.0,14.7,1685872.0,14.91,,
不動產、廠房及設備,3956579.0,39.64,3760074.0,40.0,3584257.0,33.13,3519514.0,31.13,,
投資性不動產淨額,100983.0,1.01,102986.0,1.1,103304.0,0.95,103474.0,0.92,,
無形資產,12755.0,0.13,12998.0,0.14,15496.0,0.14,17158.0,0.15,,
遞延所得稅資產,353069.0,3.54,363531.0,3.87,269279.0,2.49,274476.0,2.43,,
其他非流動資產,259670.0,2.6,201959.0,2.15,207934.0,1.92,228215.0,2.02,,
非流動資產合計,6535066.0,65.48,6222159.0,66.19,6142105.0,56.77,6192279.0,54.76,,
資產總計,9980575.0,100.0,9400327.0,100.0,10819302.0,100.0,11307618.0,100.0,,
流動負債,,,,,,,,,,
短期借款,1438000.0,14.41,1401654.0,14.91,1255971.0,11.61,1533000.0,13.56,,
應付短期票券,19900.0,0.2,0.0,0.0,119714.0,1.11,19954.0,0.18,,
應付票據,12951.0,0.13,14030.0,0.15,16082.0,0.15,25483.0,0.23,,
應付帳款,944572.0,9.46,616077.0,6.55,1543962.0,14.27,1761305.0,15.58,,
應付建造合約款,2119.0,0.02,6996.0,0.07,23570.0,0.22,35550.0,0.31,,
其他應付款,166350.0,1.67,217032.0,2.31,198079.0,1.83,307287.0,2.72,,
其他流動負債,145005.0,1.45,150182.0,1.6,432389.0,4.0,503925.0,4.46,,
流動負債合計,2728897.0,27.34,2405971.0,25.59,3589767.0,33.18,4186504.0,37.02,,
非流動負債,,,,,,,,,,
長期借款,1246241.0,12.49,1106374.0,11.77,342450.0,3.17,159302.0,1.41,,
遞延所得稅負債,173509.0,1.74,173509.0,1.85,215524.0,1.99,215524.0,1.91,,
其他非流動負債,58772.0,0.59,58181.0,0.62,86160.0,0.8,85706.0,0.76,,
非流動負債合計,1478522.0,14.81,1338064.0,14.23,644134.0,5.95,460532.0,4.07,,
負債總計,4207419.0,42.16,3744035.0,39.83,4233901.0,39.13,4647036.0,41.1,,
歸屬於母公司業主之權益,,,,,,,,,,
股本,,,,,,,,,,
普通股股本,5278698.0,52.89,5278698.0,56.15,5027331.0,46.47,5027331.0,44.46,,
股本合計,5278698.0,52.89,5278698.0,56.15,5027331.0,46.47,5027331.0,44.46,,
資本公積,,,,,,,,,,
資本公積合計,84646.0,0.85,84646.0,0.9,84645.0,0.78,84645.0,0.75,,
保留盈餘,,,,,,,,,,
法定盈餘公積,94233.0,0.94,94233.0,1.0,0.0,0.0,0.0,0.0,,
特別盈餘公積,131233.0,1.31,131233.0,1.4,8811.0,0.08,8811.0,0.08,,
未分配盈餘（或待彌補虧損）,212258.0,2.13,185143.0,1.97,952287.0,8.8,939737.0,8.31,,
保留盈餘合計,437724.0,4.39,410609.0,4.37,961098.0,8.88,948548.0,8.39,,
其他權益,,,,,,,,,,
國外營運機構財務報表換算之兌換差額,15114.0,0.15,12926.0,0.14,3975.0,0.04,979.0,0.01,,
備供出售金融資產未實現損益,-341520.0,-3.42,-428260.0,-4.56,-216100.0,-2.0,-123401.0,-1.09,,
其他權益合計,-326406.0,-3.27,-415334.0,-4.42,-212125.0,-1.96,-122422.0,-1.08,,
庫藏股票,0.0,0.0,0.0,0.0,-4768.0,-0.04,-4768.0,-0.04,,
歸屬於母公司業主之權益合計,5474662.0,54.85,5358619.0,57.0,5856181.0,54.13,5933334.0,52.47,,
非控制權益,298494.0,2.99,297673.0,3.17,729220.0,6.74,727248.0,6.43,,
權益總計,5773156.0,57.84,5656292.0,60.17,6585401.0,60.87,6660582.0,58.9,,
負債及權益總計,9980575.0,100.0,9400327.0,100.0,10819302.0,100.0,11307618.0,100.0,,
待註銷股本股數（單位：股）,0.0,,0.0,,0.0,,0.0,,,
預收股款（權益項下）之約當發行股數（單位：股）,0.0,,0.0,,0.0,,0.0,,,
母公司暨子公司所持有之母公司庫藏股股數（單位：股）,0.0,,0.0,,229866.0,,229866.0,,,
