民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,103年01月01日至103年03月31日,Unnamed: 3_level_2,Unnamed: 4_level_2,Unnamed: 5_level_2,Unnamed: 6_level_2
Unnamed: 0_level_3,金額,金額,Unnamed: 3_level_3,Unnamed: 4_level_3,Unnamed: 5_level_3,Unnamed: 6_level_3
營業活動之現金流量－間接法,,,,,,
繼續營業單位稅前淨利（淨損）,43753.0,15788.0,,,,
本期稅前淨利（淨損）,43753.0,15788.0,,,,
折舊費用,41110.0,58453.0,,,,
攤銷費用,16944.0,23708.0,,,,
呆帳費用提列（轉列收入）數,-2135.0,-2767.0,,,,
透過損益按公允價值衡量金融資產及負債之淨損失（利益）,-498.0,0.0,,,,
利息費用,8533.0,10013.0,,,,
利息收入,-2051.0,-2621.0,,,,
採用權益法認列之關聯企業及合資損失（利益）之份額,9698.0,-853.0,,,,
處分及報廢不動產、廠房及設備損失（利益）,43.0,447.0,,,,
處分投資損失（利益）,-105.0,105.0,,,,
其他項目,-43806.0,4100.0,,,,
收益費損項目合計,27733.0,90585.0,,,,
持有供交易之金融資產（增加）減少,-568.0,0.0,,,,
應收票據（增加）減少,62531.0,12803.0,,,,
應收帳款（增加）減少,-316528.0,107430.0,,,,
應收建造合約款（增加）減少,30540.0,-6422.0,,,,
其他應收款（增加）減少,9698.0,-8313.0,,,,
存貨（增加）減少,-39651.0,-137727.0,,,,
預付款項（增加）減少,5576.0,274552.0,,,,
其他流動資產（增加）減少,2195.0,749.0,,,,
其他金融資產（增加）減少,-2238.0,54368.0,,,,
與營業活動相關之資產之淨變動合計,-248445.0,297440.0,,,,
應付票據增加（減少）,-1079.0,-8744.0,,,,
應付帳款增加（減少）,328556.0,-220002.0,,,,
應付建造合約款增加（減少）,-4877.0,-11980.0,,,,
其他應付款增加（減少）,-5323.0,-37881.0,,,,
預收款項增加（減少）,-12458.0,-9998.0,,,,
其他流動負債增加（減少）,1680.0,28460.0,,,,
淨確定福利負債增加(減少),557.0,445.0,,,,
與營業活動相關之負債之淨變動合計,307056.0,-259700.0,,,,
與營業活動相關之資產及負債之淨變動合計,58611.0,37740.0,,,,
調整項目合計,86344.0,128325.0,,,,
營運產生之現金流入（流出）,130097.0,144113.0,,,,
收取之利息,1654.0,1732.0,,,,
支付之利息,-8031.0,-10127.0,,,,
支付之股利,-5.0,0.0,,,,
退還（支付）之所得稅,-3872.0,-97.0,,,,
營業活動之淨現金流入（流出）,119843.0,135621.0,,,,
投資活動之現金流量,,,,,,
取得備供出售金融資產,-69155.0,-34958.0,,,,
處分備供出售金融資產,9877.0,0.0,,,,
預付投資款增加,-20000.0,0.0,,,,
處分子公司,0.0,-6899.0,,,,
取得不動產、廠房及設備,-237837.0,-123079.0,,,,
處分不動產、廠房及設備,0.0,926.0,,,,
存出保證金增加,-4798.0,-958.0,,,,
預付設備款增加,-65.0,-853.0,,,,
其他預付款項增加,-715.0,-2785.0,,,,
其他投資活動,-50000.0,1284.0,,,,
投資活動之淨現金流入（流出）,-372693.0,-167322.0,,,,
籌資活動之現金流量,,,,,,
短期借款增加,40000.0,0.0,,,,
短期借款減少,0.0,-247029.0,,,,
應付短期票券增加,19900.0,99760.0,,,,
舉借長期借款,156000.0,117000.0,,,,
償還長期借款,-6571.0,-19071.0,,,,
存入保證金增加,150.0,37.0,,,,
應付租賃款減少,0.0,-1946.0,,,,
籌資活動之淨現金流入（流出）,209479.0,-51249.0,,,,
匯率變動對現金及約當現金之影響,-1199.0,1522.0,,,,
本期現金及約當現金增加（減少）數,-44570.0,-81428.0,,,,
期初現金及約當現金餘額,1508244.0,1662411.0,,,,
期末現金及約當現金餘額,1463674.0,1580983.0,,,,
資產負債表帳列之現金及約當現金,1463674.0,1580983.0,,,,
