民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,103年01月01日至103年03月31日,Unnamed: 3_level_2,Unnamed: 4_level_2,Unnamed: 5_level_2,Unnamed: 6_level_2
Unnamed: 0_level_3,金額,金額,Unnamed: 3_level_3,Unnamed: 4_level_3,Unnamed: 5_level_3,Unnamed: 6_level_3
營業活動之現金流量－間接法,,,,,,
繼續營業單位稅前淨利（淨損）,-79451.0,-168017.0,,,,
本期稅前淨利（淨損）,-79451.0,-168017.0,,,,
折舊費用,76254.0,74657.0,,,,
攤銷費用,1622.0,1475.0,,,,
呆帳費用提列（轉列收入）數,-522.0,-257.0,,,,
透過損益按公允價值衡量金融資產及負債之淨損失（利益）,-25957.0,-13235.0,,,,
利息費用,42516.0,41326.0,,,,
利息收入,-4812.0,-3792.0,,,,
採用權益法認列之關聯企業及合資損失（利益）之份額,-1379.0,-4693.0,,,,
處分及報廢不動產、廠房及設備損失（利益）,-242.0,783.0,,,,
不動產、廠房及設備轉列費用數,1025.0,2513.0,,,,
處分投資性不動產損失（利益）,0.0,435.0,,,,
處分投資損失（利益）,-11.0,-76.0,,,,
處分採用權益法之投資損失（利益）,0.0,0.0,,,,
買回應付公司債損失（利益）,-1831.0,0.0,,,,
收益費損項目合計,86663.0,99136.0,,,,
持有供交易之金融資產（增加）減少,395.0,-16702.0,,,,
應收票據（增加）減少,-29547.0,-23785.0,,,,
應收帳款（增加）減少,-166005.0,-24414.0,,,,
其他應收款（增加）減少,49033.0,-2572.0,,,,
存貨（增加）減少,52393.0,64731.0,,,,
預付款項（增加）減少,-5239.0,-26635.0,,,,
其他金融資產（增加）減少,5573.0,-9000.0,,,,
與營業活動相關之資產之淨變動合計,-93397.0,-38377.0,,,,
應付票據增加（減少）,-30059.0,-5736.0,,,,
應付帳款增加（減少）,28026.0,53628.0,,,,
其他應付款增加（減少）,-81749.0,-57435.0,,,,
負債準備增加（減少）,525.0,155.0,,,,
預收款項增加（減少）,13728.0,-2441.0,,,,
淨確定福利負債增加(減少),-6572.0,1396.0,,,,
與營業活動相關之負債之淨變動合計,-76101.0,-10433.0,,,,
與營業活動相關之資產及負債之淨變動合計,-169498.0,-48810.0,,,,
調整項目合計,-82835.0,50326.0,,,,
營運產生之現金流入（流出）,-162286.0,-117691.0,,,,
收取之利息,2789.0,1943.0,,,,
支付之利息,-34658.0,-32307.0,,,,
退還（支付）之所得稅,1713.0,-3920.0,,,,
營業活動之淨現金流入（流出）,-192442.0,-151975.0,,,,
投資活動之現金流量,,,,,,
取得原始認列時指定為透過損益按公允價值衡量之金融資產,0.0,0.0,,,,
處分原始認列時指定為透過損益按公允價值衡量之金融資產,0.0,0.0,,,,
處分備供出售金融資產,0.0,0.0,,,,
取得無活絡市場之債務工具投資,0.0,0.0,,,,
取得以成本衡量之金融資產,0.0,0.0,,,,
取得採用權益法之投資,-12730.0,0.0,,,,
取得不動產、廠房及設備,-78901.0,-209678.0,,,,
處分不動產、廠房及設備,243.0,3041.0,,,,
存出保證金減少,-8585.0,4642.0,,,,
其他應收款－關係人增加,0.0,0.0,,,,
取得無形資產,-85.0,-377.0,,,,
取得投資性不動產,-281.0,-252.0,,,,
其他金融資產增加,0.0,0.0,,,,
其他非流動資產增加,0.0,0.0,,,,
其他非流動資產減少,4493.0,5415.0,,,,
其他預付款項增加,-50335.0,0.0,,,,
其他預付款項減少,0.0,2329.0,,,,
投資活動之淨現金流入（流出）,-146181.0,-194880.0,,,,
籌資活動之現金流量,,,,,,
短期借款增加,302330.0,293700.0,,,,
短期借款減少,0.0,0.0,,,,
應付短期票券增加,5000.0,45000.0,,,,
應付短期票券減少,0.0,0.0,,,,
發行公司債,0.0,0.0,,,,
償還公司債,-558183.0,0.0,,,,
舉借長期借款,463000.0,100000.0,,,,
償還長期借款,-166077.0,-342751.0,,,,
存入保證金減少,3549.0,-3453.0,,,,
庫藏股票買回成本,0.0,0.0,,,,
非控制權益變動,93527.0,0.0,,,,
籌資活動之淨現金流入（流出）,143146.0,92496.0,,,,
匯率變動對現金及約當現金之影響,3434.0,24037.0,,,,
本期現金及約當現金增加（減少）數,-192043.0,-230322.0,,,,
期初現金及約當現金餘額,928230.0,1638477.0,,,,
期末現金及約當現金餘額,736187.0,1408155.0,,,,
資產負債表帳列之現金及約當現金,736187.0,1408155.0,,,,
