民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,104年01月01日至104年03月31日,103年01月01日至103年03月31日,103年01月01日至103年03月31日,Unnamed: 5_level_2
Unnamed: 0_level_3,金額,%,金額,%,Unnamed: 5_level_3
銷貨收入淨額,398213.0,59.31,669433.0,65.67,
租賃收入,109133.0,16.26,92300.0,9.05,
營建工程收入,0.0,0.0,21636.0,2.12,
勞務收入,164009.0,24.43,236060.0,23.16,
營業收入合計,671355.0,100.0,1019429.0,100.0,
銷貨成本,536594.0,79.93,664215.0,65.16,
租賃成本,51743.0,7.71,51588.0,5.06,
營建工程成本,0.0,0.0,13003.0,1.28,
勞務成本,158683.0,23.64,232260.0,22.78,
營業成本合計,747020.0,111.27,961066.0,94.27,
營業毛利（毛損）,-75665.0,-11.27,58363.0,5.73,
營業毛利（毛損）淨額,-75665.0,-11.27,58363.0,5.73,
營業費用,,,,,
推銷費用,17640.0,2.63,9622.0,0.94,
管理費用,92462.0,13.77,91328.0,8.96,
營業費用合計,110102.0,16.4,100950.0,9.9,
營業利益（損失）,-185767.0,-27.67,-42587.0,-4.18,
營業外收入及支出,,,,,
其他收入,36706.0,5.47,28221.0,2.77,
其他利益及損失淨額,-2986.0,-0.44,23990.0,2.35,
財務成本淨額,52280.0,7.79,43531.0,4.27,
採用權益法認列之關聯企業及合資損益之份額淨額,-5220.0,-0.78,-7882.0,-0.77,
營業外收入及支出合計,-23780.0,-3.54,798.0,0.08,
稅前淨利（淨損）,-209547.0,-31.21,-41789.0,-4.1,
所得稅費用（利益）合計,-26257.0,-3.91,-7585.0,-0.74,
繼續營業單位本期淨利（淨損）,-183290.0,-27.3,-34204.0,-3.36,
本期淨利（淨損）,-183290.0,-27.3,-34204.0,-3.36,
後續可能重分類至損益之項目：,,,,,
國外營運機構財務報表換算之兌換差額,-242379.0,-36.1,237773.0,23.32,
備供出售金融資產未實現評價損益,-247954.0,-36.93,331277.0,32.5,
與可能重分類之項目相關之所得稅,-40257.0,-6.0,38065.0,3.73,
其他綜合損益（淨額）,-450076.0,-67.04,530985.0,52.09,
本期綜合損益總額,-633366.0,-94.34,496781.0,48.73,
母公司業主（淨利／損）,-187780.0,-27.97,-39384.0,-3.86,
非控制權益（淨利／損）,4490.0,0.67,5180.0,0.51,
母公司業主（綜合損益）,-622310.0,-92.69,469716.0,46.08,
非控制權益（綜合損益）,-11056.0,-1.65,27065.0,2.65,
基本每股盈餘,,,,,
繼續營業單位淨利（淨損）,-0.29,,-0.06,,
基本每股盈餘,-0.29,,-0.06,,
稀釋每股盈餘,,,,,
繼續營業單位淨利（淨損）,-0.29,,-0.06,,
稀釋每股盈餘,-0.29,,-0.06,,
