民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年03月31日,104年03月31日,103年12月31日,103年12月31日,103年03月31日,103年03月31日,Unnamed: 7_level_2,Unnamed: 8_level_2
Unnamed: 0_level_3,金額,%,金額,%,金額,%,Unnamed: 7_level_3,Unnamed: 8_level_3
流動資產,,,,,,,,
現金及約當現金,3152757.0,9.68,3163688.0,9.4,3291138.0,9.66,,
透過損益按公允價值衡量之金融資產－流動,1722900.0,5.29,1671024.0,4.96,1936040.0,5.68,,
備供出售金融資產－流動淨額,3810017.0,11.7,3708575.0,11.02,4179070.0,12.27,,
應收票據淨額,252350.0,0.77,454996.0,1.35,433464.0,1.27,,
應收票據－關係人淨額,4567.0,0.01,7031.0,0.02,17148.0,0.05,,
應收帳款淨額,77679.0,0.24,109817.0,0.33,199164.0,0.58,,
應收帳款－關係人淨額,33203.0,0.1,6992.0,0.02,31.0,0.0,,
其他應收款淨額,77450.0,0.24,92490.0,0.27,75917.0,0.22,,
其他應收款－關係人淨額,203852.0,0.63,220990.0,0.66,44118.0,0.13,,
本期所得稅資產,14226.0,0.04,14173.0,0.04,5549.0,0.02,,
存貨,1142911.0,3.51,1148184.0,3.41,1342103.0,3.94,,
預付款項,227884.0,0.7,150598.0,0.45,185122.0,0.54,,
待出售非流動資產（淨額）,0.0,0.0,147940.0,0.44,0.0,0.0,,
其他流動資產,1753572.0,5.38,1981517.0,5.89,1058327.0,3.11,,
流動資產合計,12473368.0,38.29,12878015.0,38.25,12767191.0,37.47,,
非流動資產,,,,,,,,
備供出售金融資產－非流動淨額,5506926.0,16.9,5943688.0,17.65,7414004.0,21.76,,
以成本衡量之金融資產－非流動淨額,489780.0,1.5,489780.0,1.45,513258.0,1.51,,
採用權益法之投資淨額,1008126.0,3.09,1097147.0,3.26,1157959.0,3.4,,
不動產、廠房及設備,2975333.0,9.13,3085890.0,9.17,3539998.0,10.39,,
投資性不動產淨額,8286434.0,25.44,8317724.0,24.71,6793263.0,19.94,,
遞延所得稅資產,219753.0,0.67,219201.0,0.65,199339.0,0.59,,
其他非流動資產,1617530.0,4.97,1635034.0,4.86,1683766.0,4.94,,
非流動資產合計,20103882.0,61.71,20788464.0,61.75,21301587.0,62.53,,
資產總計,32577250.0,100.0,33666479.0,100.0,34068778.0,100.0,,
流動負債,,,,,,,,
短期借款,1832998.0,5.63,1057801.0,3.14,1418828.0,4.16,,
應付短期票券,349903.0,1.07,235739.0,0.7,224847.0,0.66,,
透過損益按公允價值衡量之金融負債－流動,0.0,0.0,0.0,0.0,447.0,0.0,,
應付票據,3154.0,0.01,3926.0,0.01,4161.0,0.01,,
應付帳款,275434.0,0.85,527656.0,1.57,535538.0,1.57,,
應付帳款－關係人,108654.0,0.33,98415.0,0.29,78147.0,0.23,,
其他應付款,147784.0,0.45,218884.0,0.65,180913.0,0.53,,
本期所得稅負債,47776.0,0.15,44355.0,0.13,63082.0,0.19,,
負債準備－流動,7666.0,0.02,8063.0,0.02,0.0,0.0,,
其他流動負債,845507.0,2.6,1171406.0,3.48,1905419.0,5.59,,
流動負債合計,3618876.0,11.11,3366245.0,10.0,4411382.0,12.95,,
非流動負債,,,,,,,,
長期借款,8463311.0,25.98,9096887.0,27.02,5971515.0,17.53,,
負債準備－非流動,15595.0,0.05,17900.0,0.05,0.0,0.0,,
遞延所得稅負債,1553295.0,4.77,1633163.0,4.85,1626143.0,4.77,,
其他非流動負債,277681.0,0.85,270226.0,0.8,565830.0,1.66,,
非流動負債合計,10309882.0,31.65,11018176.0,32.73,8163488.0,23.96,,
負債總計,13928758.0,42.76,14384421.0,42.73,12574870.0,36.91,,
歸屬於母公司業主之權益,,,,,,,,
股本,,,,,,,,
普通股股本,7768285.0,23.85,7768285.0,23.07,7768285.0,22.8,,
股本合計,7768285.0,23.85,7768285.0,23.07,7768285.0,22.8,,
資本公積,,,,,,,,
資本公積合計,570096.0,1.75,570096.0,1.69,450521.0,1.32,,
保留盈餘,,,,,,,,
法定盈餘公積,1957842.0,6.01,1957842.0,5.82,1830635.0,5.37,,
特別盈餘公積,2418255.0,7.42,2418255.0,7.18,2715793.0,7.97,,
未分配盈餘（或待彌補虧損）,3826555.0,11.75,4014328.0,11.92,4571245.0,13.42,,
保留盈餘合計,8202652.0,25.18,8390425.0,24.92,9117673.0,26.76,,
其他權益,,,,,,,,
其他權益合計,1340053.0,4.11,1774583.0,5.27,3282956.0,9.64,,
庫藏股票,-1149426.0,-3.53,-1149426.0,-3.41,-1149426.0,-3.37,,
歸屬於母公司業主之權益合計,16731660.0,51.36,17353963.0,51.55,19470009.0,57.15,,
非控制權益,1916832.0,5.88,1928095.0,5.73,2023899.0,5.94,,
權益總計,18648492.0,57.24,19282058.0,57.27,21493908.0,63.09,,
負債及權益總計,32577250.0,100.0,33666479.0,100.0,34068778.0,100.0,,
預收股款（權益項下）之約當發行股數（單位：股）,0.0,,0.0,,0.0,,,
母公司暨子公司所持有之母公司庫藏股股數（單位：股）,131226016.0,,131226016.0,,131226016.0,,,
