民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,104年01月01日至104年03月31日,103年01月01日至103年03月31日,103年01月01日至103年03月31日,Unnamed: 5_level_2
Unnamed: 0_level_3,金額,%,金額,%,Unnamed: 5_level_3
銷貨收入淨額,4075100.0,100.0,4363504.0,100.0,
營業收入合計,4075100.0,100.0,4363504.0,100.0,
銷貨成本,3798998.0,93.22,4369599.0,100.14,
營業成本合計,3798998.0,93.22,4369599.0,100.14,
營業毛利（毛損）,276102.0,6.78,-6095.0,-0.14,
營業毛利（毛損）淨額,276102.0,6.78,-6095.0,-0.14,
營業費用,,,,,
推銷費用,138028.0,3.39,116483.0,2.67,
管理費用,48165.0,1.18,45755.0,1.05,
研究發展費用,4976.0,0.12,4969.0,0.11,
營業費用合計,191169.0,4.69,167207.0,3.83,
營業利益（損失）,84933.0,2.08,-173302.0,-3.97,
營業外收入及支出,,,,,
其他收入,22380.0,0.55,15978.0,0.37,
其他利益及損失淨額,-12591.0,-0.31,-43088.0,-0.99,
財務成本淨額,20254.0,0.5,21359.0,0.49,
採用權益法認列之關聯企業及合資損益之份額淨額,-754.0,-0.02,1425.0,0.03,
營業外收入及支出合計,-11219.0,-0.28,-47044.0,-1.08,
稅前淨利（淨損）,73714.0,1.81,-220346.0,-5.05,
所得稅費用（利益）合計,-8484.0,-0.21,-7486.0,-0.17,
繼續營業單位本期淨利（淨損）,82198.0,2.02,-212860.0,-4.88,
本期淨利（淨損）,82198.0,2.02,-212860.0,-4.88,
後續可能重分類至損益之項目：,,,,,
國外營運機構財務報表換算之兌換差額,-25546.0,-0.63,18452.0,0.42,
備供出售金融資產未實現評價損益,-19280.0,-0.47,-14523.0,-0.33,
採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,-6718.0,-0.16,-5278.0,-0.12,
與可能重分類之項目相關之所得稅,-4342.0,-0.11,3137.0,0.07,
其他綜合損益（淨額）,-47202.0,-1.16,-4486.0,-0.1,
本期綜合損益總額,34996.0,0.86,-217346.0,-4.98,
母公司業主（淨利／損）,82198.0,2.02,-212860.0,-4.88,
母公司業主（綜合損益）,34996.0,0.86,-217346.0,-4.98,
基本每股盈餘,,,,,
基本每股盈餘,0.25,,-0.65,,
稀釋每股盈餘,,,,,
稀釋每股盈餘,0.25,,-0.65,,
