民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年03月31日,104年03月31日,103年12月31日,103年12月31日,103年03月31日,103年03月31日,Unnamed: 7_level_2,Unnamed: 8_level_2
Unnamed: 0_level_3,金額,%,金額,%,金額,%,Unnamed: 7_level_3,Unnamed: 8_level_3
流動資產,,,,,,,,
現金及約當現金,48670254.0,9.13,36632716.0,6.87,26635902.0,5.08,,
備供出售金融資產－流動淨額,39848045.0,7.47,40842667.0,7.66,39012585.0,7.44,,
應收票據淨額,7909400.0,1.48,8032090.0,1.51,6382634.0,1.22,,
應收帳款淨額,34855635.0,6.54,34845415.0,6.54,35788359.0,6.82,,
應收帳款－關係人淨額,14619172.0,2.74,11521600.0,2.16,3387022.0,0.65,,
其他應收款淨額,1552274.0,0.29,2575117.0,0.48,1861740.0,0.35,,
其他應收款－關係人淨額,19756206.0,3.71,24010378.0,4.51,59288293.0,11.3,,
存貨,44138091.0,8.28,47379663.0,8.89,46022810.0,8.77,,
其他流動資產,5923204.0,1.11,5851585.0,1.1,6987141.0,1.33,,
流動資產合計,217272281.0,40.75,211691231.0,39.73,225366486.0,42.97,,
非流動資產,,,,,,,,
備供出售金融資產－非流動淨額,18909806.0,3.55,22491849.0,4.22,11311413.0,2.16,,
以成本衡量之金融資產－非流動淨額,3022858.0,0.57,2998687.0,0.56,3011344.0,0.57,,
採用權益法之投資淨額,132382979.0,24.83,129204407.0,24.25,118328918.0,22.56,,
不動產、廠房及設備,140625889.0,26.37,145079151.0,27.23,147151910.0,28.06,,
無形資產,132730.0,0.02,139535.0,0.03,221924.0,0.04,,
遞延所得稅資產,8224938.0,1.54,8510710.0,1.6,6469100.0,1.23,,
其他非流動資產,12615328.0,2.37,12764868.0,2.4,12621541.0,2.41,,
非流動資產合計,315914528.0,59.25,321189207.0,60.27,299116150.0,57.03,,
資產總計,533186809.0,100.0,532880438.0,100.0,524482636.0,100.0,,
流動負債,,,,,,,,
短期借款,7245462.0,1.36,9201472.0,1.73,13908105.0,2.65,,
應付帳款,7977809.0,1.5,7973470.0,1.5,7632539.0,1.46,,
應付帳款－關係人,9900301.0,1.86,8810017.0,1.65,10572633.0,2.02,,
其他應付款,13339529.0,2.5,13977003.0,2.62,14176912.0,2.7,,
其他應付款項－關係人,11200.0,0.0,32600.0,0.01,10300.0,0.0,,
其他流動負債,32800489.0,6.15,31673535.0,5.94,37337489.0,7.12,,
流動負債合計,71274790.0,13.37,71668097.0,13.45,83637978.0,15.95,,
非流動負債,,,,,,,,
應付公司債,63538598.0,11.92,63592267.0,11.93,73550727.0,14.02,,
長期借款,26426048.0,4.96,29991393.0,5.63,30791672.0,5.87,,
遞延所得稅負債,7971181.0,1.5,7817412.0,1.47,6856561.0,1.31,,
其他非流動負債,26754855.0,5.02,26779891.0,5.03,26249013.0,5.0,,
非流動負債合計,124690682.0,23.39,128180963.0,24.05,137447973.0,26.21,,
負債總計,195965472.0,36.75,199849060.0,37.5,221085951.0,42.15,,
歸屬於母公司業主之權益,,,,,,,,
股本,,,,,,,,
普通股股本,79308216.0,14.87,79308216.0,14.88,79308216.0,15.12,,
待註銷股本,0.0,0.0,0.0,0.0,0.0,0.0,,
股本合計,79308216.0,14.87,79308216.0,14.88,79308216.0,15.12,,
資本公積,,,,,,,,
資本公積合計,23158501.0,4.34,22926996.0,4.3,21911332.0,4.18,,
保留盈餘,,,,,,,,
保留盈餘合計,161677979.0,30.32,153727811.0,28.85,146854521.0,28.0,,
其他權益,,,,,,,,
其他權益合計,58530973.0,10.98,62417658.0,11.71,42470279.0,8.1,,
庫藏股票,0.0,0.0,0.0,0.0,-3742.0,0.0,,
歸屬於母公司業主之權益合計,322675669.0,60.52,318380681.0,59.75,290540606.0,55.4,,
非控制權益,14545668.0,2.73,14650697.0,2.75,12856079.0,2.45,,
權益總計,337221337.0,63.25,333031378.0,62.5,303396685.0,57.85,,
負債及權益總計,533186809.0,100.0,532880438.0,100.0,524482636.0,100.0,,
預收股款（權益項下）之約當發行股數（單位：股）,0.0,,0.0,,0.0,,,
母公司暨子公司所持有之母公司庫藏股股數（單位：股）,0.0,,0.0,,185067.0,,,
