民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,103年01月01日至103年03月31日,Unnamed: 3_level_2,Unnamed: 4_level_2,Unnamed: 5_level_2,Unnamed: 6_level_2
Unnamed: 0_level_3,金額,金額,Unnamed: 3_level_3,Unnamed: 4_level_3,Unnamed: 5_level_3,Unnamed: 6_level_3
營業活動之現金流量－間接法,,,,,,
繼續營業單位稅前淨利（淨損）,9817972.0,10445075.0,,,,
本期稅前淨利（淨損）,9817972.0,10445075.0,,,,
折舊費用,3993941.0,3782549.0,,,,
攤銷費用,465070.0,384929.0,,,,
利息費用,473861.0,539073.0,,,,
利息收入,-187691.0,-373934.0,,,,
採用權益法認列之關聯企業及合資損失（利益）之份額,-3141560.0,-4979395.0,,,,
處分及報廢不動產、廠房及設備損失（利益）,-20635.0,13413.0,,,,
不動產、廠房及設備轉列費用數,10309.0,0.0,,,,
處分投資損失（利益）,-323113.0,-21408.0,,,,
處分採用權益法之投資損失（利益）,0.0,-2538951.0,,,,
非金融資產減損迴轉利益,-594.0,0.0,,,,
未實現銷貨利益（損失）,-214.0,1759.0,,,,
未實現外幣兌換損失（利益）,-121248.0,-209366.0,,,,
逾期未領股利及董監酬勞轉列其他收入,-418.0,2774.0,,,,
收益費損項目合計,1147708.0,-3398557.0,,,,
應收票據（增加）減少,122690.0,534778.0,,,,
應收帳款（增加）減少,-2948156.0,-1189753.0,,,,
其他應收款（增加）減少,1136101.0,-124660.0,,,,
存貨（增加）減少,4173370.0,-821564.0,,,,
其他流動資產（增加）減少,-74297.0,-581129.0,,,,
與營業活動相關之資產之淨變動合計,2409708.0,-2182328.0,,,,
應付帳款增加（減少）,1091473.0,-357543.0,,,,
其他應付款增加（減少）,-1637020.0,-1177884.0,,,,
其他流動負債增加（減少）,107624.0,262633.0,,,,
淨確定福利負債增加(減少),-58549.0,-60685.0,,,,
與營業活動相關之負債之淨變動合計,-496472.0,-1333479.0,,,,
與營業活動相關之資產及負債之淨變動合計,1913236.0,-3515807.0,,,,
調整項目合計,3060944.0,-6914364.0,,,,
營運產生之現金流入（流出）,12878916.0,3530711.0,,,,
收取之利息,108676.0,336865.0,,,,
收取之股利,0.0,149416.0,,,,
支付之利息,-257535.0,-344984.0,,,,
退還（支付）之所得稅,-370977.0,-712263.0,,,,
營業活動之淨現金流入（流出）,12359080.0,2959745.0,,,,
投資活動之現金流量,,,,,,
取得備供出售金融資產,0.0,-704.0,,,,
處分備供出售金融資產,2264685.0,1532527.0,,,,
取得以成本衡量之金融資產,-25000.0,0.0,,,,
處分採用權益法之投資,0.0,3650366.0,,,,
對子公司之收購（扣除所取得之現金）,0.0,-116231.0,,,,
取得不動產、廠房及設備,-1078502.0,-1876872.0,,,,
處分不動產、廠房及設備,45846.0,7147.0,,,,
存出保證金增加,-26789.0,-4676.0,,,,
其他應收款－關係人減少,4254172.0,4490549.0,,,,
其他非流動資產增加,-770895.0,-1052779.0,,,,
投資活動之淨現金流入（流出）,4663517.0,6629327.0,,,,
籌資活動之現金流量,,,,,,
短期借款減少,-1956010.0,-429455.0,,,,
應付短期票券減少,0.0,-4499306.0,,,,
償還公司債,0.0,-2500000.0,,,,
舉借長期借款,3988407.0,5550000.0,,,,
償還長期借款,-6418897.0,-6413487.0,,,,
存入保證金增加,25271.0,0.0,,,,
存入保證金減少,0.0,-36274.0,,,,
其他應付款－關係人減少,-21400.0,-5600.0,,,,
其他非流動負債增加,22424.0,10731.0,,,,
發放現金股利,-981.0,0.0,,,,
非控制權益變動,-54038.0,15903.0,,,,
籌資活動之淨現金流入（流出）,-4415224.0,-8307488.0,,,,
匯率變動對現金及約當現金之影響,-569835.0,806945.0,,,,
本期現金及約當現金增加（減少）數,12037538.0,2088529.0,,,,
期初現金及約當現金餘額,36632716.0,24547373.0,,,,
期末現金及約當現金餘額,48670254.0,26635902.0,,,,
資產負債表帳列之現金及約當現金,48670254.0,26635902.0,,,,
