民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,104年01月01日至104年03月31日,103年01月01日至103年03月31日,103年01月01日至103年03月31日,Unnamed: 5_level_2
Unnamed: 0_level_3,金額,%,金額,%,Unnamed: 5_level_3
銷貨收入淨額,1230665.0,100.0,1344360.0,100.0,
營業收入合計,1230665.0,100.0,1344360.0,100.0,
銷貨成本,1104824.0,89.77,1189248.0,88.46,
營業成本合計,1104824.0,89.77,1189248.0,88.46,
營業毛利（毛損）,125841.0,10.23,155112.0,11.54,
營業毛利（毛損）淨額,125841.0,10.23,155112.0,11.54,
營業費用,,,,,
推銷費用,23916.0,1.94,21510.0,1.6,
管理費用,20174.0,1.64,20735.0,1.54,
研究發展費用,1908.0,0.16,2042.0,0.15,
營業費用合計,45998.0,3.74,44287.0,3.29,
營業利益（損失）,79843.0,6.49,110825.0,8.24,
營業外收入及支出,,,,,
其他收入,38056.0,3.09,19042.0,1.42,
其他利益及損失淨額,16403.0,1.33,-11989.0,-0.89,
財務成本淨額,61.0,0.0,12.0,0.0,
採用權益法認列之關聯企業及合資損益之份額淨額,7014.0,0.57,9420.0,0.7,
營業外收入及支出合計,61412.0,4.99,16461.0,1.22,
稅前淨利（淨損）,141255.0,11.48,127286.0,9.47,
所得稅費用（利益）合計,19944.0,1.62,22110.0,1.64,
繼續營業單位本期淨利（淨損）,121311.0,9.86,105176.0,7.82,
本期淨利（淨損）,121311.0,9.86,105176.0,7.82,
後續可能重分類至損益之項目：,,,,,
國外營運機構財務報表換算之兌換差額,-12409.0,-1.01,11090.0,0.82,
備供出售金融資產未實現評價損益,-118227.0,-9.61,-116499.0,-8.67,
採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,-13112.0,-1.07,-9570.0,-0.71,
與可能重分類之項目相關之所得稅,-1615.0,-0.13,1725.0,0.13,
其他綜合損益（淨額）,-142133.0,-11.55,-116704.0,-8.68,
本期綜合損益總額,-20822.0,-1.69,-11528.0,-0.86,
母公司業主（淨利／損）,121311.0,9.86,105176.0,7.82,
母公司業主（綜合損益）,-20822.0,-1.69,-11528.0,-0.86,
基本每股盈餘,,,,,
基本每股盈餘,0.26,,0.22,,
稀釋每股盈餘,,,,,
稀釋每股盈餘,0.26,,0.22,,
