民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,104年01月01日至104年03月31日,103年01月01日至103年03月31日,103年01月01日至103年03月31日,Unnamed: 5_level_2
Unnamed: 0_level_3,金額,%,金額,%,Unnamed: 5_level_3
營業收入合計,7183052.0,100.0,5307080.0,100.0,
營業成本合計,4804777.0,66.89,3883952.0,73.18,
營業毛利（毛損）,2378275.0,33.11,1423128.0,26.82,
營業毛利（毛損）淨額,2378275.0,33.11,1423128.0,26.82,
營業費用,,,,,
推銷費用,993229.0,13.83,611136.0,11.52,
管理費用,164891.0,2.3,137691.0,2.59,
研究發展費用,23257.0,0.32,23468.0,0.44,
營業費用合計,1181377.0,16.45,772295.0,14.55,
營業利益（損失）,1196898.0,16.66,650833.0,12.26,
營業外收入及支出,,,,,
其他收入,21731.0,0.3,20735.0,0.39,
其他利益及損失淨額,1822.0,0.03,-11085.0,-0.21,
財務成本淨額,5719.0,0.08,4305.0,0.08,
營業外收入及支出合計,17834.0,0.25,5345.0,0.1,
稅前淨利（淨損）,1214732.0,16.91,656178.0,12.36,
所得稅費用（利益）合計,295884.0,4.12,114013.0,2.15,
繼續營業單位本期淨利（淨損）,918848.0,12.79,542165.0,10.22,
本期淨利（淨損）,918848.0,12.79,542165.0,10.22,
後續可能重分類至損益之項目：,,,,,
國外營運機構財務報表換算之兌換差額,-86811.0,-1.21,59570.0,1.12,
備供出售金融資產未實現評價損益,14102.0,0.2,7921.0,0.15,
與可能重分類之項目相關之所得稅,-13842.0,-0.19,10896.0,0.21,
其他綜合損益（淨額）,-58867.0,-0.82,56595.0,1.07,
本期綜合損益總額,859981.0,11.97,598760.0,11.28,
母公司業主（淨利／損）,912101.0,12.7,539088.0,10.16,
非控制權益（淨利／損）,6747.0,0.09,3077.0,0.06,
母公司業主（綜合損益）,853234.0,11.88,595676.0,11.22,
非控制權益（綜合損益）,6747.0,0.09,3084.0,0.06,
基本每股盈餘,,,,,
基本每股盈餘,1.27,,0.75,,
稀釋每股盈餘,,,,,
稀釋每股盈餘,1.27,,0.75,,
