民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,103年01月01日至103年03月31日,Unnamed: 3_level_2,Unnamed: 4_level_2,Unnamed: 5_level_2,Unnamed: 6_level_2
Unnamed: 0_level_3,金額,金額,Unnamed: 3_level_3,Unnamed: 4_level_3,Unnamed: 5_level_3,Unnamed: 6_level_3
營業活動之現金流量－間接法,,,,,,
繼續營業單位稅前淨利（淨損）,1214732.0,656178.0,,,,
本期稅前淨利（淨損）,1214732.0,656178.0,,,,
折舊費用,87020.0,71152.0,,,,
攤銷費用,10139.0,20739.0,,,,
呆帳費用提列（轉列收入）數,3325.0,1011.0,,,,
透過損益按公允價值衡量金融資產及負債之淨損失（利益）,-7314.0,-6239.0,,,,
利息費用,5719.0,4305.0,,,,
利息收入,-10854.0,-8917.0,,,,
股利收入,-4130.0,-5891.0,,,,
處分及報廢不動產、廠房及設備損失（利益）,1336.0,302.0,,,,
處分投資損失（利益）,4154.0,409.0,,,,
金融資產減損損失,4803.0,14788.0,,,,
其他項目,0.0,957.0,,,,
收益費損項目合計,94198.0,92616.0,,,,
持有供交易之金融資產（增加）減少,7314.0,6239.0,,,,
應收票據（增加）減少,8287.0,-40911.0,,,,
應收帳款（增加）減少,-179369.0,393207.0,,,,
其他應收款（增加）減少,-70803.0,25275.0,,,,
存貨（增加）減少,673242.0,381175.0,,,,
生物資產（增加）減少,0.0,1024.0,,,,
預付款項（增加）減少,236417.0,349432.0,,,,
其他流動資產（增加）減少,1100.0,-4376.0,,,,
與營業活動相關之資產之淨變動合計,676188.0,1111065.0,,,,
應付票據增加（減少）,70939.0,113027.0,,,,
應付帳款增加（減少）,-546493.0,-302136.0,,,,
其他應付款增加（減少）,-178789.0,-344470.0,,,,
負債準備增加（減少）,-6027.0,-12378.0,,,,
其他流動負債增加（減少）,-55612.0,-134122.0,,,,
淨確定福利負債增加(減少),218.0,-786.0,,,,
與營業活動相關之負債之淨變動合計,-715764.0,-680865.0,,,,
與營業活動相關之資產及負債之淨變動合計,-39576.0,430200.0,,,,
調整項目合計,54622.0,522816.0,,,,
營運產生之現金流入（流出）,1269354.0,1178994.0,,,,
收取之利息,15952.0,13914.0,,,,
支付之利息,-6528.0,-4428.0,,,,
退還（支付）之所得稅,-33086.0,-522.0,,,,
營業活動之淨現金流入（流出）,1245692.0,1187958.0,,,,
投資活動之現金流量,,,,,,
取得備供出售金融資產,-291000.0,-342721.0,,,,
處分備供出售金融資產,346413.0,355340.0,,,,
取得無活絡市場之債務工具投資,-423500.0,-1300159.0,,,,
處分無活絡市場之債務工具投資,367857.0,1116713.0,,,,
以成本衡量之金融資產減資退回股款,0.0,2772.0,,,,
取得不動產、廠房及設備,-83507.0,-78834.0,,,,
處分不動產、廠房及設備,152.0,2472.0,,,,
取得無形資產,-6696.0,-4762.0,,,,
其他金融資產增加,-18892.0,0.0,,,,
其他金融資產減少,0.0,140576.0,,,,
其他非流動資產增加,-11682.0,-71511.0,,,,
收取之股利,4130.0,5891.0,,,,
投資活動之淨現金流入（流出）,-116725.0,-174223.0,,,,
籌資活動之現金流量,,,,,,
短期借款增加,-43909.0,-390412.0,,,,
應付短期票券增加,-29982.0,-1.0,,,,
應付租賃款減少,-150.0,-199.0,,,,
其他金融負債增加,12631.0,7160.0,,,,
籌資活動之淨現金流入（流出）,-61410.0,-383452.0,,,,
匯率變動對現金及約當現金之影響,-24426.0,9967.0,,,,
本期現金及約當現金增加（減少）數,1043131.0,640250.0,,,,
期初現金及約當現金餘額,1991558.0,1359032.0,,,,
期末現金及約當現金餘額,3034689.0,1999282.0,,,,
資產負債表帳列之現金及約當現金,3034689.0,1999282.0,,,,
